article_id,label
0570177001,mailbag
0575944002,hair_slide
0576129001,wool
0570806001,overskirt
0572155001,sweatshirt
0576693003,mortarboard
0577759003,wool
0578630014,wool
0577327002,hoopskirt
0570579003,wool
0571436010,jersey
0573605022,wool
0578553004,jean
0573716024,wool
0570924001,wool
0578978001,envelope
0577470001,mortarboard
0570002090,jersey
0576130001,wool
0572533020,sweatshirt
0579010003,wool
0579776002,wallet
0573605017,wool
0577330002,wool
0573566001,velvet
0577294030,envelope
0578863002,hair_slide
0572124006,jean
0573759001,wool
0571990001,wool
0570002054,wool
0577964001,wool
0578422006,wool
0573452002,brassiere
0575141001,sweatshirt
0573085055,jean
0573420001,bulletproof_vest
0572207021,sweatshirt
0572402003,wool
0570190001,knee_pad
0572998003,jean
0573605018,wool
0573085014,jean
0575533015,jersey
0571436024,jersey
0574310001,shopping_basket
0572202003,trench_coat
0572205001,velvet
0577512008,wool
0572128008,stole
0572942002,jean
0573701003,wool
0578630017,mortarboard
0577251002,wool
0577294011,quilt
0570463001,wallet
0574987003,wool
0575501001,jean
0577425003,doormat
0578020004,swimming_trunks
0576620002,brassiere
0574109029,wool
0570003079,jersey
0579468005,poncho
0574717001,sandal
0578816008,mitten
0571436012,wool
0570004031,wool
0571598034,wool
0572797033,jersey
0579541036,wool
0577627003,wool
0576262001,wool
0577294010,prayer_rug
0572604001,miniskirt
0579697003,wool
0571987003,leatherback_turtle
0571319001,poncho
0570003008,jersey
0578317005,hair_slide
0578589009,velvet
0578431001,wool
0571473003,sweatshirt
0577827004,bow_tie
0578311004,letter_opener
0572797003,jersey
0576416001,mailbag
0572262002,jersey
0578311002,sandal
0574722001,wool
0578476001,jean
0579410002,Band_Aid
0578417003,swimming_trunks
0574109013,swimming_trunks
0570240005,wool
0570574001,wool
0571198002,clog
0573626007,jersey
0570325002,stole
0575156031,wool
0573652003,jersey
0576657001,wool
0572277012,jersey
0574228002,brassiere
0575156025,wool
0570474013,swimming_trunks
0578179001,purse
0572955002,swimming_trunks
0571973002,wool
0570004107,wool
0570004109,jersey
0578630016,jersey
0577431001,wool
0574399001,hair_slide
0571177004,brassiere
0573085042,jean
0573152023,wool
0574607002,necklace
0575156003,poncho
0579883001,bassinet
0571479003,wool
0572400002,wool
0575744001,wool
0578700001,wool
0578893001,sweatshirt
0576661007,bulletproof_vest
0576229001,wool
0577425014,running_shoe
0571484001,brassiere
0574124001,wool
0572480002,wool
0579105001,wool
0579541012,cardigan
0570004012,jersey
0579119003,jean
0574401001,jersey
0572797048,wool
0572797008,jersey
0576224005,miniskirt
0572955010,jean
0575156017,wool
0573096001,apron
0571709005,wool
0577178002,wool
0571369005,sweatshirt
0572400010,wool
0572400013,wool
0572799002,sweatshirt
0578752003,bath_towel
0570003075,mortarboard
0573217002,mailbag
0576050001,wool
0576775016,wool
0570900003,wool
0571706010,mortarboard
0579848002,jean
0573635001,sweatshirt
0576773015,jean
0573864001,swimming_trunks
0573149005,diaper
0572056002,backpack
0577529002,poncho
0573085033,jean
0572207003,sweatshirt
0573937002,jean
0576859003,wool
0579165022,jersey
0573152032,wool
0578960001,mitten
0574112005,sweatshirt
0579372004,pajama
0579541011,cardigan
0579692005,wool
0578762002,sandal
0577089003,brassiere
0578978003,diaper
0579614006,wool
0575238001,wool
0573566004,velvet
0579309001,jean
0579541022,wool
0577151002,swimming_trunks
0579302015,brassiere
0575839001,poncho
0578217001,wool
0577579001,wool
0573716072,wool
0578630023,sweatshirt
0575542011,vase
0574874004,swimming_trunks
0573605009,wool
0579165015,wool
0572207019,sweatshirt
0573605027,sweatshirt
0570004112,jersey
0573259002,wool
0573284053,jersey
0579751009,wool
0571650002,velvet
0575605001,vestment
0570890001,wool
0570342003,wool
0575156013,sweatshirt
0575156005,wool
0572277001,poncho
0577398002,velvet
0572546001,jean
0573685002,jersey
0571633004,overskirt
0570843003,velvet
0576134002,sweatshirt
0579541072,sweatshirt
0574198004,clog
0574198007,face_powder
0574051002,wool
0578394002,wool
0577759001,wool
0578311011,pretzel
0579848001,jean
0578182001,wool
0578186001,swimming_trunks
0573152003,jersey
0571619003,plastic_bag
0573042003,bulletproof_vest
0575460006,wool
0579541024,cardigan
0571598039,wool
0573456001,mortarboard
0570546001,miniskirt
0576676001,perfume
0571820001,jean
0577512005,stole
0573866001,stole
0575523001,wool
