article_id,combined_rcmnds,combined_scores,image_rcmnds,image_scores,tfrs_rcmnds,tfrs_scores,text_rcmnds,text_scores,feature_rcmnds,feature_scores
710728001,710728001,1.0,710728001,1.0,710728001,1.0,710728001,1.0,710728001,1.0
710728001,788093003,0.86,710728002,0.79,504154001,1.0,710728002,1.0,750213002,1.0
710728001,709338002,0.84,788093003,0.74,440811010,1.0,696134002,0.9,721298005,1.0
710728001,685009006,0.83,633977004,0.73,790791001,1.0,696134003,0.9,685009006,1.0
710728001,762063001,0.81,781833008,0.72,821173002,1.0,696134001,0.9,681176011,1.0
710728001,794454002,0.81,709338002,0.7,714191001,1.0,672947004,0.89,784397001,1.0
710728001,846592001,0.78,685009006,0.69,786336003,1.0,788595001,0.89,807500002,1.0
710728001,721298005,0.78,798820004,0.69,703991003,1.0,781833012,0.88,783580001,1.0
751724001,751724001,1.0,751724001,1.0,751724001,1.0,751724001,1.0,751724001,1.0
751724001,717502003,0.78,665082022,0.86,642498004,0.99,783706001,0.85,710358001,0.82
751724001,751719001,0.74,717502002,0.85,918834001,0.98,816175002,0.84,717502003,0.82
751724001,677970001,0.73,734902001,0.85,671783004,0.97,816175001,0.84,771034001,0.82
751724001,720821001,0.73,717502003,0.85,611635002,0.95,785818001,0.82,761713001,0.73
751724001,771034001,0.73,717773005,0.83,794222005,0.9,635279003,0.82,682784001,0.73
751724001,760572001,0.72,856332001,0.83,732060009,0.89,635279002,0.82,761713011,0.73
751724001,690894001,0.7,783073001,0.83,732060002,0.82,676111001,0.81,843905001,0.73
605716003,605716003,1.0,605716003,1.0,605716003,1.0,605716003,1.0,770857002,1.0
605716003,525096004,0.83,598975005,0.85,582881001,1.0,829185002,0.87,525096004,1.0
605716003,570333002,0.8,592745001,0.85,509497002,1.0,829185001,0.87,605716003,1.0
605716003,598720002,0.79,598670001,0.81,853559001,1.0,879282003,0.87,827838003,1.0
605716003,606274001,0.77,753893001,0.81,887809001,1.0,879282002,0.87,836303001,1.0
605716003,547623003,0.76,796644001,0.8,255396018,1.0,879282001,0.87,702982001,1.0
605716003,901679002,0.76,824062001,0.8,560534001,1.0,723173010,0.86,712167001,1.0
605716003,876355006,0.76,744892001,0.8,556955005,1.0,723173006,0.86,905757002,0.91
818313004,818313004,1.0,818313004,1.0,818313004,1.0,818313001,1.0,818313004,1.0
818313004,867783001,0.8,764355002,0.71,570489002,1.0,818313004,1.0,867783001,1.0
818313004,850541002,0.78,825086002,0.7,559018004,1.0,818313003,1.0,850541002,1.0
818313004,572799007,0.76,738882001,0.7,698317006,1.0,737577001,0.89,687069003,0.91
818313004,869846003,0.75,712517003,0.7,542695004,1.0,865971002,0.89,572799007,0.91
818313004,762600008,0.74,857855001,0.69,685813029,1.0,865971008,0.89,550580004,0.91
818313004,572797050,0.74,762600004,0.69,574153001,1.0,865971003,0.89,699110002,0.91
818313004,550580004,0.72,797680003,0.68,700946004,0.99,865971006,0.89,687044002,0.91
640555001,640555001,1.0,640555001,1.0,640555001,1.0,660930001,1.0,713200006,1.0
640555001,640554001,0.86,621976001,0.91,748141003,0.96,521782001,1.0,640555001,1.0
640555001,595212001,0.84,588423002,0.91,568800038,0.96,640555001,1.0,736691001,1.0
640555001,595272001,0.83,629024001,0.91,719629025,0.96,595272001,0.97,710278003,1.0
640555001,595201001,0.8,584633001,0.91,743768003,0.96,689009001,0.97,772772001,1.0
640555001,591800001,0.78,561248001,0.91,860721001,0.96,576859003,0.97,777043002,1.0
640555001,595194001,0.77,635141001,0.91,375585024,0.96,639891001,0.97,599580049,1.0
640555001,595209001,0.77,626794001,0.91,771796001,0.96,689009002,0.97,586896037,1.0
719575001,719575001,1.0,719575001,1.0,719575001,1.0,719575001,1.0,719575001,1.0
719575001,408569010,0.79,408647009,0.81,714543001,0.98,408649007,1.0,265630004,0.82
719575001,719544002,0.78,408569009,0.79,508789016,0.98,408649008,1.0,408554006,0.82
719575001,631744004,0.77,408569010,0.78,715424003,0.97,408649006,1.0,697688001,0.82
719575001,408647009,0.77,631744010,0.77,562734017,0.97,408647007,0.88,408554004,0.82
719575001,665497001,0.77,716590007,0.77,608776024,0.97,408647010,0.88,179393001,0.82
719575001,807244003,0.75,683001009,0.76,719544002,0.97,408647008,0.88,266875001,0.82
719575001,652956002,0.75,509091045,0.76,408569010,0.96,408647009,0.88,809320001,0.82
464297031,464297031,1.0,464297031,1.0,464297031,1.0,464297031,1.0,464297031,1.0
464297031,464297021,0.88,464297030,0.93,583896003,0.91,464297028,1.0,570319021,0.91
464297031,464297030,0.86,464297033,0.89,664368004,0.91,464297034,1.0,719655002,0.91
464297031,464927020,0.84,464297027,0.89,863477007,0.91,464297033,1.0,570319066,0.91
464297031,464297027,0.84,465655024,0.88,803070017,0.9,673718002,1.0,899215001,0.91
464297031,464297033,0.83,701014002,0.88,736531007,0.89,464297030,1.0,702890001,0.91
464297031,464927008,0.83,465655016,0.88,736531014,0.88,464297027,1.0,719655014,0.91
464297031,701014002,0.83,614857003,0.87,657291005,0.88,464297021,1.0,570319002,0.91
795621001,795621001,1.0,795621001,1.0,795621001,1.0,795621001,1.0,866117002,1.0
795621001,509669004,0.9,541518027,0.87,723469002,0.99,325087018,0.96,903306001,1.0
795621001,800245002,0.89,800245003,0.86,723469005,0.99,325087041,0.96,557994003,1.0
795621001,757921001,0.88,841182003,0.86,617348001,0.98,325087043,0.96,800245002,1.0
795621001,849738001,0.86,729318007,0.86,509669011,0.97,325087036,0.96,704756001,1.0
795621001,541518004,0.85,506098006,0.85,464679013,0.97,325087044,0.96,737644002,1.0
795621001,841182002,0.85,792817004,0.85,855706003,0.97,325087002,0.96,894775001,1.0
795621001,736530016,0.85,797527002,0.85,616708001,0.97,325087045,0.96,883354001,1.0
501619020,501619020,1.0,501619020,1.0,501619020,1.0,501619024,1.0,501619020,1.0
501619020,637411001,0.87,693510002,0.9,631749001,1.0,501619020,1.0,735094005,1.0
501619020,618319022,0.83,689107001,0.88,898694001,1.0,501619006,1.0,501619015,1.0
501619020,715610013,0.83,656495003,0.87,910457001,1.0,501619007,1.0,735094006,0.91
501619020,501722027,0.82,710876005,0.86,744224003,1.0,501619009,1.0,618319022,0.91
501619020,618319007,0.82,560030020,0.85,740824007,1.0,501619010,1.0,866529002,0.91
501619020,501620036,0.82,501620049,0.85,753094003,1.0,501619026,1.0,734940014,0.91
501619020,501722029,0.82,686643002,0.85,686564022,1.0,501619023,1.0,618319007,0.91
671599006,671599006,1.0,671599006,1.0,671599006,1.0,671599009,1.0,671599006,1.0
671599006,570004061,0.87,570004061,0.92,803229001,1.0,671599011,1.0,685816004,0.91
671599006,570004108,0.87,671599001,0.9,811262002,1.0,671599003,1.0,763275003,0.91
671599006,570004115,0.83,671599009,0.89,685816007,0.99,671599004,1.0,596400015,0.91
671599006,620928012,0.81,570004060,0.88,633172001,0.99,671599005,1.0,795338003,0.91
671599006,570004106,0.81,570004078,0.86,623859004,0.99,671599007,1.0,620928012,0.91
671599006,570004060,0.81,699924007,0.86,863456001,0.99,671599001,1.0,513699041,0.91
671599006,570004053,0.8,570004082,0.86,708711001,0.99,671599012,1.0,570004108,0.91
800389002,800389002,1.0,800389002,1.0,800389002,1.0,800389001,1.0,586007002,1.0
800389002,810419002,0.95,810419002,0.99,610081003,0.71,800389002,1.0,508463002,1.0
800389002,811783002,0.82,810419001,0.85,772576001,0.71,800389007,1.0,586244001,1.0
800389002,684209019,0.78,800389001,0.82,858918004,0.71,871468001,0.97,800389002,1.0
