customer,history,combined_rcmnds,combined_scores,image_rcmnds,image_scores,tfrs_rcmnds,tfrs_scores,text_rcmnds,text_scores,feature_rcmnds,feature_scores
002b1e59b1eee374ca5aa8a941f88c0fe5f95e4421a07dd5a47d8ccd43296654,"[189654001, 327310002, 788261001, 788261001]",774627010,0.13,189654001,0.7,757258001,0.91,565379004,0.88,884920001,0.52
002b1e59b1eee374ca5aa8a941f88c0fe5f95e4421a07dd5a47d8ccd43296654,"[189654001, 327310002, 788261001, 788261001]",859105007,0.12,189654047,0.65,821459002,0.91,565379005,0.88,727604001,0.52
002b1e59b1eee374ca5aa8a941f88c0fe5f95e4421a07dd5a47d8ccd43296654,"[189654001, 327310002, 788261001, 788261001]",519589004,0.12,768921001,0.64,756718003,0.9,565379002,0.88,872834001,0.52
002b1e59b1eee374ca5aa8a941f88c0fe5f95e4421a07dd5a47d8ccd43296654,"[189654001, 327310002, 788261001, 788261001]",817472002,0.12,189654045,0.64,825318009,0.9,565379003,0.88,749272001,0.52
002b1e59b1eee374ca5aa8a941f88c0fe5f95e4421a07dd5a47d8ccd43296654,"[189654001, 327310002, 788261001, 788261001]",736767021,0.12,873645001,0.63,757395003,0.9,788261004,0.88,585929001,0.52
002b1e59b1eee374ca5aa8a941f88c0fe5f95e4421a07dd5a47d8ccd43296654,"[189654001, 327310002, 788261001, 788261001]",599718043,0.11,736865001,0.62,744131001,0.89,565379006,0.88,638896001,0.52
002b1e59b1eee374ca5aa8a941f88c0fe5f95e4421a07dd5a47d8ccd43296654,"[189654001, 327310002, 788261001, 788261001]",865072004,0.11,327310002,0.62,759909004,0.89,664746002,0.88,585940001,0.52
002b1e59b1eee374ca5aa8a941f88c0fe5f95e4421a07dd5a47d8ccd43296654,"[189654001, 327310002, 788261001, 788261001]",861514004,0.11,706509001,0.6,491912006,0.89,565379018,0.88,884750002,0.52
002d1f5bd63ea4d0c6bed75d791646899dfd9069cbb83a82e6d095ee89beda1e,"[502224001, 638416001, 633870001, 547367027, 554477026, 698296002, 658030005, 547367021, 665325002, 547365026, 599580024, 689898002, 681176005, 700340001, 759871003, 775328011, 792817002, 792817002, 746775005, 739363003, 833499003, 802529001, 833530003, 717370001, 212629048, 860322003, 860305002, 829687002]",574717001,0.09,619285005,0.73,830508001,0.94,761840001,0.88,666045001,0.61
002d1f5bd63ea4d0c6bed75d791646899dfd9069cbb83a82e6d095ee89beda1e,"[502224001, 638416001, 633870001, 547367027, 554477026, 698296002, 658030005, 547367021, 665325002, 547365026, 599580024, 689898002, 681176005, 700340001, 759871003, 775328011, 792817002, 792817002, 746775005, 739363003, 833499003, 802529001, 833530003, 717370001, 212629048, 860322003, 860305002, 829687002]",581153001,0.09,652142002,0.73,708472002,0.93,723469005,0.86,669812001,0.61
